Date;P
01/11/2010;0
02/11/2010;6.5
03/11/2010;11.7
04/11/2010;31.7
05/11/2010;7.3
06/11/2010;0.2
07/11/2010;0
08/11/2010;0.8
09/11/2010;0.6
10/11/2010;0.3
11/11/2010;5.7
12/11/2010;24.1
13/11/2010;0.8
14/11/2010;18.1
15/11/2010;0
16/11/2010;1
17/11/2010;8.5
18/11/2010;12.6
19/11/2010;12.8
20/11/2010;0.1
21/11/2010;0
22/11/2010;0.9
23/11/2010;10.6
24/11/2010;0.2
25/11/2010;3.8
26/11/2010;0.3
27/11/2010;0
28/11/2010;1.8
29/11/2010;3.8
30/11/2010;2
01/12/2010;0.1
02/12/2010;17.3
03/12/2010;0
04/12/2010;1.8
05/12/2010;7.9
06/12/2010;0.2
07/12/2010;0
08/12/2010;0.1
09/12/2010;0
10/12/2010;6.7
11/12/2010;0
12/12/2010;0.1
13/12/2010;3.2
14/12/2010;0
15/12/2010;0
16/12/2010;4.4
17/12/2010;0
18/12/2010;0
19/12/2010;0
20/12/2010;0
21/12/2010;0
22/12/2010;1.5
23/12/2010;0.6
24/12/2010;0
25/12/2010;0
26/12/2010;2.3
27/12/2010;0
28/12/2010;0
29/12/2010;0
30/12/2010;0.5
31/12/2010;0.4
01/01/2011;0
02/01/2011;0
03/01/2011;0
04/01/2011;0
05/01/2011;3.5
06/01/2011;3.9
07/01/2011;1
08/01/2011;0.5
09/01/2011;0
10/01/2011;0
11/01/2011;1
12/01/2011;0
13/01/2011;4.4
14/01/2011;10
15/01/2011;4.3
16/01/2011;0.2
17/01/2011;3.6
18/01/2011;0
19/01/2011;0
20/01/2011;0
21/01/2011;3.4
22/01/2011;0
23/01/2011;0
24/01/2011;2.7
25/01/2011;0.3
26/01/2011;0.7
27/01/2011;0
28/01/2011;0
29/01/2011;0
30/01/2011;0
31/01/2011;0
01/02/2011;0
02/02/2011;2
03/02/2011;7.2
04/02/2011;30.4
05/02/2011;4.2
06/02/2011;12.9
07/02/2011;1.2
08/02/2011;0
09/02/2011;0
10/02/2011;3.6
11/02/2011;0.5
12/02/2011;0.1
13/02/2011;0.8
14/02/2011;0
15/02/2011;5.4
16/02/2011;0.1
17/02/2011;0
18/02/2011;0
19/02/2011;0
20/02/2011;0
21/02/2011;0
22/02/2011;0
23/02/2011;0
24/02/2011;0
25/02/2011;0
26/02/2011;0
27/02/2011;0
28/02/2011;0
01/03/2011;0
02/03/2011;0
03/03/2011;0
04/03/2011;0
05/03/2011;0.1
06/03/2011;0
07/03/2011;0
08/03/2011;0
09/03/2011;1.2
10/03/2011;5.5
11/03/2011;0
12/03/2011;0.1
13/03/2011;1.8
14/03/2011;4.8
15/03/2011;0
16/03/2011;0
17/03/2011;0
18/03/2011;0
19/03/2011;0
20/03/2011;0
21/03/2011;0
22/03/2011;0
23/03/2011;0
24/03/2011;0
25/03/2011;0
26/03/2011;0
27/03/2011;0.1
28/03/2011;0.1
29/03/2011;0.1
30/03/2011;2.7
31/03/2011;3
01/04/2011;0
02/04/2011;0
03/04/2011;0.3
04/04/2011;0
05/04/2011;2.6
06/04/2011;0.4
07/04/2011;0.1
08/04/2011;0
09/04/2011;0
10/04/2011;0
11/04/2011;2.2
12/04/2011;1.2
13/04/2011;0
14/04/2011;0
15/04/2011;0
16/04/2011;0
17/04/2011;0
18/04/2011;0
19/04/2011;0
20/04/2011;0
21/04/2011;0
22/04/2011;0
23/04/2011;0
24/04/2011;0
25/04/2011;0
26/04/2011;0
27/04/2011;0
28/04/2011;0
29/04/2011;0
30/04/2011;0
01/05/2011;0
02/05/2011;0
03/05/2011;0.8
04/05/2011;0
05/05/2011;0
06/05/2011;0
07/05/2011;0
08/05/2011;0
09/05/2011;0
10/05/2011;0
11/05/2011;0.5
12/05/2011;0
13/05/2011;0
14/05/2011;4.1
15/05/2011;1.2
16/05/2011;6.8
17/05/2011;0.8
18/05/2011;0
19/05/2011;0.2
20/05/2011;0
21/05/2011;0
22/05/2011;15.3
23/05/2011;0.5
24/05/2011;1.2
25/05/2011;0
26/05/2011;1.1
27/05/2011;1.8
28/05/2011;5.5
29/05/2011;0.6
30/05/2011;0
31/05/2011;2.7
01/06/2011;0
02/06/2011;0
03/06/2011;0
04/06/2011;0
05/06/2011;0
06/06/2011;5.1
07/06/2011;0.2
08/06/2011;19.7
09/06/2011;0
10/06/2011;0
11/06/2011;1.6
12/06/2011;0
13/06/2011;2.8
14/06/2011;0
15/06/2011;0.1
16/06/2011;11.1
17/06/2011;2.4
18/06/2011;4.8
19/06/2011;8.5
20/06/2011;0.3
21/06/2011;0.1
22/06/2011;14.5
23/06/2011;3.9
24/06/2011;0
25/06/2011;0.8
26/06/2011;0
27/06/2011;0
28/06/2011;0
29/06/2011;13.5
30/06/2011;0
01/07/2011;0
02/07/2011;8.4
03/07/2011;0
04/07/2011;0
05/07/2011;0.2
06/07/2011;9.6
07/07/2011;3.1
08/07/2011;7.1
09/07/2011;2.4
10/07/2011;0
11/07/2011;0
12/07/2011;0.9
13/07/2011;33
14/07/2011;4.1
15/07/2011;0.1
16/07/2011;1.8
17/07/2011;2.1
18/07/2011;1
19/07/2011;0
20/07/2011;0
21/07/2011;0
22/07/2011;31
23/07/2011;7.1
24/07/2011;3.9
25/07/2011;0.2
26/07/2011;0
27/07/2011;0
28/07/2011;0
29/07/2011;0.2
30/07/2011;10.9
31/07/2011;0
01/08/2011;0
02/08/2011;0
03/08/2011;0
04/08/2011;11.3
05/08/2011;0
06/08/2011;6.4
07/08/2011;0.1
08/08/2011;14.7
09/08/2011;17.2
10/08/2011;16.7
11/08/2011;39.3
12/08/2011;7.3
13/08/2011;1.2
14/08/2011;35.8
15/08/2011;0.1
16/08/2011;0
17/08/2011;0
18/08/2011;1.3
19/08/2011;0.6
20/08/2011;0
21/08/2011;30.5
22/08/2011;0
23/08/2011;1.5
24/08/2011;13
25/08/2011;0
26/08/2011;13.3
27/08/2011;19.2
28/08/2011;6.8
29/08/2011;10.3
30/08/2011;4.3
31/08/2011;1.1
01/09/2011;0
02/09/2011;0
03/09/2011;0
04/09/2011;3.5
05/09/2011;0.9
06/09/2011;14.1
07/09/2011;16.8
08/09/2011;15.8
09/09/2011;0.2
10/09/2011;2.5
11/09/2011;0.2
12/09/2011;1.4
13/09/2011;8.3
14/09/2011;13.5
15/09/2011;1.7
16/09/2011;0
17/09/2011;6.6
18/09/2011;10.1
19/09/2011;1.5
20/09/2011;0.1
21/09/2011;0.8
22/09/2011;3
23/09/2011;0
24/09/2011;0
25/09/2011;0
26/09/2011;1.5
27/09/2011;0
28/09/2011;0
29/09/2011;0
30/09/2011;0
01/10/2011;0
02/10/2011;0
03/10/2011;0
04/10/2011;0
05/10/2011;2.7
06/10/2011;8
07/10/2011;2
08/10/2011;0
09/10/2011;3.4
10/10/2011;6.9
11/10/2011;0.9
12/10/2011;0
13/10/2011;0
14/10/2011;0
15/10/2011;0
16/10/2011;0
17/10/2011;1.1
18/10/2011;19.5
19/10/2011;7.4
20/10/2011;0.3
21/10/2011;0.1
22/10/2011;0
23/10/2011;0
24/10/2011;0
25/10/2011;0
26/10/2011;0
27/10/2011;0
28/10/2011;0
29/10/2011;0
30/10/2011;3.4
31/10/2011;0
01/11/2011;0
02/11/2011;0
03/11/2011;0
04/11/2011;0
05/11/2011;0
06/11/2011;0
07/11/2011;0
08/11/2011;0
09/11/2011;0
10/11/2011;0
11/11/2011;0
12/11/2011;0
13/11/2011;0
14/11/2011;0
15/11/2011;0
16/11/2011;0
17/11/2011;0
18/11/2011;0
19/11/2011;0
20/11/2011;0
21/11/2011;0
22/11/2011;0
23/11/2011;0.8
24/11/2011;0
25/11/2011;3.8
26/11/2011;1.5
27/11/2011;6.9
28/11/2011;0
29/11/2011;0.1
30/11/2011;0
01/12/2011;13.2
02/12/2011;1.5
03/12/2011;6.8
04/12/2011;5.1
05/12/2011;5.7
06/12/2011;4.2
07/12/2011;5.8
08/12/2011;14.3
09/12/2011;3.9
10/12/2011;3
11/12/2011;0.1
12/12/2011;1.6
13/12/2011;8.1
14/12/2011;3.2
15/12/2011;2.6
16/12/2011;7.7
17/12/2011;0.1
18/12/2011;0.2
19/12/2011;0.4
20/12/2011;0.8
21/12/2011;0.4
22/12/2011;1.4
23/12/2011;5.8
24/12/2011;2.3
25/12/2011;1.3
26/12/2011;0.1
27/12/2011;1.5
28/12/2011;4.6
29/12/2011;16.2
30/12/2011;0
31/12/2011;0.8
01/01/2012;14
02/01/2012;0
03/01/2012;20.8
04/01/2012;19.7
05/01/2012;3.3
06/01/2012;0.7
07/01/2012;5.8
08/01/2012;0.3
09/01/2012;3
10/01/2012;0.2
11/01/2012;0.8
12/01/2012;3.4
13/01/2012;0
14/01/2012;0
15/01/2012;0.1
16/01/2012;0.9
17/01/2012;0
18/01/2012;4
19/01/2012;2.5
20/01/2012;0.1
21/01/2012;7.3
22/01/2012;1
23/01/2012;0
24/01/2012;0
25/01/2012;0
26/01/2012;0.4
27/01/2012;0.2
28/01/2012;1.7
29/01/2012;0.1
30/01/2012;0
31/01/2012;0
01/02/2012;0.6
02/02/2012;0.6
03/02/2012;0.3
04/02/2012;0
05/02/2012;0
06/02/2012;0.2
07/02/2012;0
08/02/2012;0.1
09/02/2012;0.1
10/02/2012;0.5
11/02/2012;0.2
12/02/2012;0.2
13/02/2012;0.2
14/02/2012;1.2
15/02/2012;0
16/02/2012;4.3
17/02/2012;0
18/02/2012;4.3
19/02/2012;0
20/02/2012;2.5
21/02/2012;0.8
22/02/2012;5.3
23/02/2012;0.1
24/02/2012;0
25/02/2012;0.8
26/02/2012;0
27/02/2012;1.2
28/02/2012;0
29/02/2012;0
01/03/2012;0
02/03/2012;0
03/03/2012;0
04/03/2012;0
05/03/2012;0
06/03/2012;0
07/03/2012;7.3
08/03/2012;0
09/03/2012;0.4
10/03/2012;0.1
11/03/2012;0
12/03/2012;0
13/03/2012;0
14/03/2012;0
15/03/2012;0
16/03/2012;0
17/03/2012;0.6
18/03/2012;0.8
19/03/2012;0
20/03/2012;0
21/03/2012;0
22/03/2012;0
23/03/2012;0
24/03/2012;0
25/03/2012;0
26/03/2012;0
27/03/2012;0
28/03/2012;0
29/03/2012;0.2
30/03/2012;0.3
31/03/2012;0
01/04/2012;1.1
02/04/2012;0.3
03/04/2012;0.6
04/04/2012;0.1
05/04/2012;0
06/04/2012;11.7
07/04/2012;0
08/04/2012;0
09/04/2012;2
10/04/2012;1.7
11/04/2012;0
12/04/2012;14.7
13/04/2012;0
14/04/2012;1.4
15/04/2012;1.8
16/04/2012;0.1
17/04/2012;0
18/04/2012;0
19/04/2012;0.4
20/04/2012;8.1
21/04/2012;2.2
22/04/2012;1
23/04/2012;4
24/04/2012;4.2
25/04/2012;1.1
26/04/2012;0.7
27/04/2012;0.9
28/04/2012;1.3
29/04/2012;0
30/04/2012;0
01/05/2012;0
02/05/2012;0
03/05/2012;0
04/05/2012;0.4
05/05/2012;0
06/05/2012;0
07/05/2012;0.2
08/05/2012;0
09/05/2012;9.8
10/05/2012;16.7
11/05/2012;0
12/05/2012;0.3
13/05/2012;0
14/05/2012;0.1
15/05/2012;0.8
16/05/2012;2
17/05/2012;0
18/05/2012;0.4
19/05/2012;0
20/05/2012;0
21/05/2012;0
22/05/2012;0.4
23/05/2012;0
24/05/2012;0
25/05/2012;0
26/05/2012;0
27/05/2012;0
28/05/2012;0
29/05/2012;0
30/05/2012;0
31/05/2012;2.1
01/06/2012;0
02/06/2012;0
03/06/2012;0
04/06/2012;0
05/06/2012;0
06/06/2012;0.6
07/06/2012;1.6
08/06/2012;9.2
09/06/2012;0.1
10/06/2012;0.4
11/06/2012;0
12/06/2012;3
13/06/2012;0
14/06/2012;0
15/06/2012;1.5
16/06/2012;9.1
17/06/2012;0
18/06/2012;1.2
19/06/2012;0
20/06/2012;0
21/06/2012;1.2
22/06/2012;4.8
23/06/2012;0.5
24/06/2012;25.7
25/06/2012;9.1
26/06/2012;0
27/06/2012;0
28/06/2012;4.3
29/06/2012;27.9
30/06/2012;0
01/07/2012;2
02/07/2012;0
03/07/2012;0
04/07/2012;0
05/07/2012;0
06/07/2012;11.1
07/07/2012;0
08/07/2012;14.7
09/07/2012;2.9
10/07/2012;0
11/07/2012;5.1
12/07/2012;10.4
13/07/2012;0.1
14/07/2012;1.7
15/07/2012;0.5
16/07/2012;10.7
17/07/2012;3.5
18/07/2012;24.4
19/07/2012;13.6
20/07/2012;0.9
21/07/2012;0
22/07/2012;0
23/07/2012;0
25/07/2012;0
26/07/2012;0
27/07/2012;0
28/07/2012;20
29/07/2012;1.3
30/07/2012;4.8
31/07/2012;0
01/08/2012;0
02/08/2012;0.3
03/08/2012;2.2
04/08/2012;2.6
05/08/2012;1.7
06/08/2012;14.9
07/08/2012;8.9
08/08/2012;0.4
09/08/2012;0
10/08/2012;0
11/08/2012;0
12/08/2012;0
13/08/2012;0
14/08/2012;0
15/08/2012;0
16/08/2012;6.1
17/08/2012;0
18/08/2012;0
19/08/2012;0
20/08/2012;0
21/08/2012;0.6
22/08/2012;0.1
23/08/2012;0
24/08/2012;0.4
25/08/2012;5.4
26/08/2012;7.4
27/08/2012;0
28/08/2012;0.5
29/08/2012;1
30/08/2012;0
31/08/2012;0
01/09/2012;0
02/09/2012;0.1
03/09/2012;0
04/09/2012;0
05/09/2012;0
06/09/2012;0.6
07/09/2012;2.7
08/09/2012;1.1
09/09/2012;0
10/09/2012;0
11/09/2012;2.8
12/09/2012;3
13/09/2012;0
14/09/2012;13.1
15/09/2012;0.1
16/09/2012;0
17/09/2012;0.4
18/09/2012;2.9
19/09/2012;3
20/09/2012;4.2
21/09/2012;4.8
22/09/2012;1.4
23/09/2012;0
24/09/2012;14.6
25/09/2012;1.7
26/09/2012;4.8
27/09/2012;3.2
28/09/2012;0.1
29/09/2012;2
30/09/2012;0.1
01/10/2012;1.2
02/10/2012;0
03/10/2012;10.3
04/10/2012;2.7
05/10/2012;9.2
07/10/2012;1.1
08/10/2012;0.9
09/10/2012;1.5
10/10/2012;0.8
11/10/2012;0
12/10/2012;14
14/10/2012;0
15/10/2012;0.1
16/10/2012;2.5
17/10/2012;0.7
18/10/2012;0
19/10/2012;0
21/10/2012;0.1
22/10/2012;0
23/10/2012;0.1
24/10/2012;0.3
25/10/2012;0.3
26/10/2012;0.1
28/10/2012;0
29/10/2012;5.7
30/10/2012;0.7
31/10/2012;0
